transaction_id,date_id,transaction_datetime,account_id,customer_id,branch_id,product_id,transaction_type,transaction_channel,transaction_amount,currency,running_balance,is_flagged_fraud
TXN00000001,20250131,2025-01-31 19:06:00,ACC000585,CUST00463,BR0001,PRD007,Payment,Mobile App,-14043.96,INR,92420.0,False
TXN00000002,20251230,2025-12-30 03:42:00,ACC000745,CUST00694,BR0008,PRD008,Transfer,Branch,30470.45,INR,341480.76,False
TXN00000003,20240510,2024-05-10 11:47:00,ACC000267,CUST00829,BR0024,PRD008,Transfer,POS,36088.84,INR,264431.03,False
TXN00000004,20250718,2025-07-18 12:05:00,ACC001332,CUST00718,BR0017,PRD009,Transfer,Branch,21042.83,INR,65242.7,False
TXN00000005,20250204,2025-02-04 20:52:00,ACC000247,CUST00844,BR0006,PRD008,Deposit,ATM,58676.82,INR,96463.75,False
TXN00000006,20241231,2024-12-31 19:21:00,ACC000203,CUST00714,BR0007,PRD008,Deposit,Online,94184.71,INR,362675.33,False
TXN00000007,20241110,2024-11-10 01:08:00,ACC000414,CUST00505,BR0025,PRD007,Fee,ATM,-36052.43,INR,209106.28,False
TXN00000008,20220502,2022-05-02 14:40:00,ACC001148,CUST00595,BR0017,PRD010,Transfer,Branch,89496.56,INR,455424.59,False
TXN00000009,20230412,2023-04-12 16:50:00,ACC000859,CUST00288,BR0024,PRD003,Fee,Branch,-46570.05,INR,83467.56,False
TXN00000010,20250523,2025-05-23 18:03:00,ACC000265,CUST00662,BR0018,PRD008,Transfer,ATM,4592.25,INR,370357.6,False
TXN00000011,20221127,2022-11-27 02:10:00,ACC001403,CUST00041,BR0023,PRD004,Fee,Mobile App,-43519.27,INR,375363.9,False
TXN00000012,20220329,2022-03-29 06:11:00,ACC000800,CUST00154,BR0020,PRD005,Payment,Branch,-30380.56,INR,80001.53,False
TXN00000013,20251028,2025-10-28 16:29:00,ACC001427,CUST00449,BR0013,PRD002,Deposit,POS,87921.54,INR,353877.01,False
TXN00000014,20250128,2025-01-28 22:17:00,ACC000622,CUST00161,BR0001,PRD009,Refund,POS,22072.62,INR,59551.7,False
TXN00000015,20240521,2024-05-21 20:09:00,ACC001093,CUST00804,BR0019,PRD003,Withdrawal,Online,-14627.57,INR,463623.98,False
TXN00000016,20220511,2022-05-11 06:34:00,ACC000106,CUST00386,BR0001,PRD009,Interest Credit,Branch,98003.36,INR,699.98,False
TXN00000017,20250825,2025-08-25 22:56:00,ACC001240,CUST00106,BR0009,PRD007,Transfer,POS,32489.96,INR,132019.09,False
TXN00000018,20240209,2024-02-09 01:40:00,ACC001253,CUST00746,BR0007,PRD005,Transfer,Branch,32497.28,INR,411965.89,False
TXN00000019,20221210,2022-12-10 00:34:00,ACC000573,CUST00385,BR0020,PRD009,Withdrawal,POS,-12836.56,INR,53221.37,False
TXN00000020,20251208,2025-12-08 20:40:00,ACC000783,CUST00334,BR0024,PRD003,Interest Credit,POS,25771.65,INR,275438.9,False
TXN00000021,20240316,2024-03-16 18:40:00,ACC000452,CUST00867,BR0008,PRD004,Transfer,Mobile App,26915.91,INR,77820.74,False
TXN00000022,20230121,2023-01-21 15:05:00,ACC001488,CUST00943,BR0015,PRD008,Payment,Mobile App,-18463.57,INR,90756.77,False
TXN00000023,20250430,2025-04-30 23:11:00,ACC000361,CUST00786,BR0012,PRD001,Withdrawal,Online,-28504.42,INR,10523.65,False
TXN00000024,20240813,2024-08-13 19:12:00,ACC000364,CUST00998,BR0022,PRD006,Refund,Branch,39450.02,INR,71761.18,False
